ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
603396.SH,20260403,25450,8417.03,22252,7364.43,14822,4907.76,16283,5386.19,7439,2454.41,9018,2977.52,3020,997.25,3178,1048.31,6620,2184.84
603398.SH,20260403,26123,3002.31,24454,2811.29,33577,3859.27,32403,3725.46,16767,1932.52,18607,2140.44,1041,120.52,2044,237.42,19346,2241.25
603399.SH,20260403,154943,17052.34,155797,17150.9,84668,9340.0,81394,8977.38,31436,3467.98,35349,3898.01,6434,703.82,4941,537.85,-27925,-3042.83
603400.SH,20260403,2752,1795.12,3406,2222.66,1557,1017.03,1222,796.71,864,562.96,515,336.26,0,0.0,30,19.47,-1505,-983.02
603402.SH,20260403,3976,5425.26,4377,5969.54,4953,6765.68,5000,6834.14,2498,3417.64,2281,3120.47,278,380.26,48,64.68,-1599,-2136.49
603406.SH,20260403,6757,2275.47,6572,2212.28,4728,1588.9,4545,1527.77,1317,441.33,1682,564.63,0,0.0,3,1.02,-4458,-1502.41
603408.SH,20260403,12284,1429.76,11302,1315.52,3508,408.23,3163,368.18,1097,127.81,2424,282.11,0,0.0,0,0.0,-2128,-249.17
603409.SH,20260403,6012,2292.25,7118,2714.0,5173,1973.16,4774,1822.88,2132,813.21,1716,653.67,291,111.92,0,0.0,-3607,-1375.03
603416.SH,20260403,4137,1988.64,4222,2029.22,2638,1267.07,1846,887.25,993,476.78,736,353.11,0,0.0,964,462.91,-367,-174.85
603418.SH,20260403,2476,1218.76,2862,1408.6,2310,1137.19,2133,1049.83,791,389.67,605,297.52,220,107.96,197,97.64,-2431,-1196.83
603421.SH,20260403,203039,16872.87,211662,17579.3,142855,11866.59,140786,11716.74,56623,4706.87,58483,4858.99,18296,1529.47,9882,820.78,-86504,-7175.99
603429.SH,20260403,16105,1670.53,13124,1361.61,25210,2616.58,23416,2433.08,14075,1456.73,14003,1448.44,0,0.0,4847,500.71,11028,1134.45
603439.SH,20260403,13155,1465.93,14968,1667.36,5623,625.95,4383,488.75,1335,148.4,1762,195.66,1000,111.5,0,0.0,-7683,-855.55
603444.SH,20260403,5368,19396.83,5146,18592.32,2642,9550.05,2939,10621.87,1365,4928.64,1322,4773.58,185,670.89,154,558.63,-1608,-5791.28
603456.SH,20260403,91898,15809.99,85802,14761.21,52552,9047.41,52327,9008.13,17903,3080.92,23197,3992.86,3203,550.84,4231,726.96,-22047,-3797.95
603458.SH,20260403,47160,4810.82,57148,5825.46,35394,3611.23,35945,3667.64,26585,2710.83,19483,1988.22,6336,649.07,2899,300.63,-16801,-1706.49
603466.SH,20260403,70163,6332.84,74744,6744.32,33115,2988.43,32272,2912.88,12176,1099.29,6942,626.77,3877,351.28,5373,487.87,-28040,-2526.43
603477.SH,20260403,133653,22120.46,129967,21491.47,78946,13085.6,79107,13120.66,43235,7164.49,38504,6386.63,5421,899.58,13677,2271.38,-13677,-2238.83
603486.SH,20260403,11830,7118.95,11305,6804.09,6090,3665.11,6370,3831.67,2328,1402.26,3008,1809.75,684,410.37,250,151.18,-1841,-1105.8
603488.SH,20260403,24201,2410.99,27640,2753.58,12757,1269.87,10674,1063.31,7105,706.48,5749,570.46,0,0.0,0,0.0,-6857,-683.67
603489.SH,20260403,26672,8231.47,26996,8327.02,11857,3656.07,11389,3513.47,5399,1661.28,5122,1580.11,406,123.46,827,251.7,-3918,-1208.02
603496.SH,20260403,85719,23788.13,85861,23821.58,49468,13730.94,45000,12492.95,22574,6269.34,23563,6541.16,5330,1478.64,8667,2411.37,29000,8076.61
603499.SH,20260403,14860,3125.45,13650,2875.54,14091,2956.59,12401,2608.09,9423,1966.54,9742,2027.74,1388,289.66,3969,826.89,-155,-41.75
603500.SH,20260403,24693,2685.35,24226,2634.84,9986,1085.83,7839,851.25,4314,468.95,5856,637.3,20,2.17,1091,118.92,-6497,-704.94
603501.SH,20260403,53156,48031.1,43169,39007.41,46337,41862.72,44977,40640.75,25774,23300.14,33667,30425.64,15468,13995.08,18922,17115.26,11578,10519.63
603505.SH,20260403,29461,5139.59,29276,5107.9,16173,2819.24,16197,2824.51,9796,1708.86,7108,1239.44,754,131.57,3604,627.42,-10019,-1745.23
603506.SH,20260403,18035,2133.47,18944,2241.13,5174,611.77,4227,499.34,700,83.55,738,88.31,0,0.0,0,0.0,-4469,-529.46
603507.SH,20260403,42548,17182.19,40718,16452.44,30713,12402.15,30835,12458.77,23011,9294.99,21672,8736.62,5407,2181.43,8454,3412.93,-1380,-558.39
603508.SH,20260403,10859,2793.65,9695,2493.73,4756,1223.31,5220,1342.49,1810,464.48,2185,562.08,0,0.0,325,83.15,-1397,-357.63
603511.SH,20260403,6164,842.59,6806,930.73,3815,521.77,3166,432.64,200,27.32,207,28.32,0,0.0,0,0.0,-1881,-257.61
603515.SH,20260403,14648,2869.37,13015,2548.68,5920,1160.42,6081,1192.68,1980,388.32,2852,558.79,0,0.0,600,117.96,4009,787.14
603516.SH,20260403,27536,35949.59,21882,28566.77,13036,17017.14,12234,15982.94,8067,10529.63,11172,14572.1,2456,3202.04,5806,7576.59,1036,1358.93
